h: n            x            y(proton  ),hh0l  n  y(photon  ),hh0dr n  y(neutron ),hh0mb n  
#  e-lower      e-upper        number    r.err      number    r.err      number    r.err 
   2.5119E-01   2.7861E-01   0.0000E+00  0.0000   3.0159E-05  1.0000   2.7320E-03  0.1077
   2.7861E-01   3.0903E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0460E-03  0.1203
   3.0903E-01   3.4277E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3682E-03  0.1084
   3.4277E-01   3.8019E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7476E-03  0.1221
   3.8019E-01   4.2170E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   2.0218E-03  0.1096
   4.2170E-01   4.6774E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8978E-03  0.1096
   4.6774E-01   5.1880E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5581E-03  0.1169
   5.1880E-01   5.7544E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5094E-03  0.1146
   5.7544E-01   6.3826E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2980E-03  0.1194
   6.3826E-01   7.0795E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2312E-03  0.1186
   7.0795E-01   7.8524E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3322E-03  0.1096
   7.8524E-01   8.7096E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0458E-03  0.1194
   8.7096E-01   9.6605E-01   0.0000E+00  0.0000   0.0000E+00  0.0000   9.3966E-04  0.1212
   9.6605E-01   1.0715E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   9.3407E-04  0.1170
   1.0715E+00   1.1885E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   9.6775E-04  0.1110
   1.1885E+00   1.3183E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   7.3383E-04  0.1221
   1.3183E+00   1.4622E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   7.0165E-04  0.1203
   1.4622E+00   1.6218E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5365E-04  0.1117
   1.6218E+00   1.7989E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   6.3010E-04  0.1170
   1.7989E+00   1.9953E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   6.9233E-04  0.1071
   1.9953E+00   2.2131E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.7801E-04  0.1230
   2.2131E+00   2.4547E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.4843E-04  0.1221
   2.4547E+00   2.7227E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1415E-04  0.1212
   2.7227E+00   3.0200E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   4.1157E-04  0.1162
   3.0200E+00   3.3497E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.5957E-04  0.1186
   3.3497E+00   3.7154E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.9508E-04  0.1077
   3.7154E+00   4.1210E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   3.2385E-04  0.1132
   4.1210E+00   4.5709E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7549E-04  0.1170
   4.5709E+00   5.0699E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   2.7122E-04  0.1117
   5.0699E+00   5.6234E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   2.3842E-04  0.1131
   5.6234E+00   6.2373E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   2.2916E-04  0.1090
   6.2373E+00   6.9183E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.8771E-04  0.1132
   6.9183E+00   7.6736E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.5699E-04  0.1179
   7.6736E+00   8.5114E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.7168E-04  0.1059
   8.5114E+00   9.4406E+00   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2866E-04  0.1154
   9.4406E+00   1.0471E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.3099E-04  0.1071
   1.0471E+01   1.1614E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   1.2363E-04  0.1031
   1.1614E+01   1.2882E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   7.5157E-05  0.1241
   1.2882E+01   1.4289E+01   0.0000E+00  0.0000   0.0000E+00  0.0000   8.1937E-05  0.1111
