   2.3320E-01   2.3430E-01   0.0000E+00  0.0000
   2.3430E-01   2.3540E-01   0.0000E+00  0.0000
   2.3540E-01   2.3650E-01   0.0000E+00  0.0000
   2.3650E-01   2.3760E-01   0.0000E+00  0.0000
   2.3760E-01   2.3870E-01   0.0000E+00  0.0000
   2.3870E-01   2.3980E-01   0.0000E+00  0.0000
   2.3980E-01   2.4090E-01   0.0000E+00  0.0000
   2.4090E-01   2.4200E-01   0.0000E+00  0.0000
   2.4200E-01   2.4310E-01   0.0000E+00  0.0000
   2.4310E-01   2.4420E-01   0.0000E+00  0.0000
   2.4420E-01   2.4530E-01   0.0000E+00  0.0000
   2.4530E-01   2.4640E-01   0.0000E+00  0.0000
   2.4640E-01   2.4750E-01   0.0000E+00  0.0000
   2.4750E-01   2.4860E-01   0.0000E+00  0.0000
   2.4860E-01   2.4970E-01   0.0000E+00  0.0000
   2.4970E-01   2.5080E-01   0.0000E+00  0.0000
   2.5080E-01   2.5190E-01   0.0000E+00  0.0000
   2.5190E-01   2.5300E-01   0.0000E+00  0.0000
   2.5300E-01   2.5410E-01   0.0000E+00  0.0000
   2.5410E-01   2.5520E-01   0.0000E+00  0.0000
   2.5520E-01   2.5630E-01   0.0000E+00  0.0000
   2.5630E-01   2.5740E-01   0.0000E+00  0.0000
   2.5740E-01   2.5850E-01   0.0000E+00  0.0000
   2.5850E-01   2.5960E-01   0.0000E+00  0.0000
   2.5960E-01   2.6070E-01   0.0000E+00  0.0000
   2.6070E-01   2.6180E-01   0.0000E+00  0.0000
   2.6180E-01   2.6290E-01   0.0000E+00  0.0000
   2.6290E-01   2.6400E-01   0.0000E+00  0.0000
   2.6400E-01   2.6510E-01   0.0000E+00  0.0000
   2.6510E-01   2.6620E-01   0.0000E+00  0.0000
   2.6620E-01   2.6730E-01   0.0000E+00  0.0000
   2.6730E-01   2.6840E-01   0.0000E+00  0.0000
   2.6840E-01   2.6950E-01   0.0000E+00  0.0000
   2.6950E-01   2.7060E-01   0.0000E+00  0.0000
   2.7060E-01   2.7170E-01   0.0000E+00  0.0000
   2.7170E-01   2.7280E-01   0.0000E+00  0.0000
   2.7280E-01   2.7390E-01   6.2768E-04  0.2466
   2.7390E-01   2.7500E-01   4.1201E-03  0.2241

#   sum over    6.3526E-01   1.8991E-05  0.2237

'no. =  1,  ir =  1'
msuc: {\huge Bragg peak in medium}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  rmin  &=&   0.0000E+00 [cm]
  rmax  &=&   8.5750E-01 [cm]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   ir  =  2
#   r = (   8.5750E-01  -   1.2125E+00  )

x: z [cm]
y: Dose [Gy/source]      
p: xlin ylog afac(0.8) form(0.9)
p: ylin
h: n            x            y1(all     ),hh0l ny2 dy1=[y1*y2] 
