   9.4000E-01   9.5000E-01   7.2010E-03  0.0144
   9.5000E-01   9.6000E-01   7.4599E-03  0.0142
   9.6000E-01   9.7000E-01   7.4983E-03  0.0141
   9.7000E-01   9.8000E-01   7.3276E-03  0.0142
   9.8000E-01   9.9000E-01   7.4230E-03  0.0140
   9.9000E-01   1.0000E+00   7.1847E-03  0.0142

#   sum over    6.2832E-01   7.3956E-03  0.0021

'no. =  1,  iz =  1'
msuc: {\huge Bragg peak in pouch, ahora con radio 1}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  zmin  &=&   9.8380E+01 [cm]
  zmax  &=&   9.8580E+01 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 8.43385973868316235E-02 # Total source weight or Total source weight / maxcas
# resc3  = 5.26400000000000000E+08 # Total history number or Total batch number
# maxcas =      100000 # History / Batch, only used for istdev=1
# bitrseed = 0001111110111011110001111001110111111010110110100011110000001000 # bit data of rseed
