h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   3.3113E+02   4.3652E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E+02   5.7544E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E+02   7.5858E+02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E+02   1.0000E+03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000

#   sum over                 1.0000E+00  0.0227   1.0000E+00  0.0229   5.4500E-01  0.0422   1.4000E-01  0.0842   7.6000E-02  0.1142   1.0000E-03  0.9995

'no. =  1,  reg  =      1'
msuc: {\huge [t-deposit] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
   vol  &=&   1.0000E+00 [cm^3]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =  2   reg =    2

x: Deposit Energy [MeV]
y: Number [1/source]     
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(all     ),hh0l  n  y(proton  ),hh0dr n  y(nucleus ),hh0mb n  y(electron),hh0ug n  y(alpha   ),hh0pc n  y(pion+   ),hh0q  n  
#  e-lower      e-upper     deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err   deposit      r.err 
   1.0000E-03   1.3183E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E-03   1.7378E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.7378E-03   2.2909E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.2909E-03   3.0200E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.0200E-03   3.9811E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.9811E-03   5.2481E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.2481E-03   6.9183E-03   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.9183E-03   9.1201E-03   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000
   9.1201E-03   1.2023E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.2023E-02   1.5849E-02   1.0000E-03  0.9995   0.0000E+00  0.0000   2.0000E-03  0.7064   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.5849E-02   2.0893E-02   1.0000E-03  0.9995   0.0000E+00  0.0000   1.0000E-03  0.9995   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.0893E-02   2.7542E-02   4.0000E-03  0.4990   0.0000E+00  0.0000   2.0000E-03  0.7064   7.0000E-03  0.3766   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.7542E-02   3.6308E-02   0.0000E+00  0.0000   0.0000E+00  0.0000   1.0000E-03  0.9995   5.0000E-03  0.4461   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.6308E-02   4.7863E-02   1.0000E-03  0.9995   0.0000E+00  0.0000   1.0000E-03  0.9995   2.0000E-03  0.7064   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.7863E-02   6.3096E-02   2.0000E-03  0.7064   1.0000E-03  0.9995   3.0000E-03  0.5765   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000
   6.3096E-02   8.3176E-02   6.0000E-03  0.4070   1.0000E-03  0.9995   4.0000E-03  0.4990   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
   8.3176E-02   1.0965E-01   1.0000E-03  0.9995   0.0000E+00  0.0000   5.0000E-03  0.4461   1.0000E-02  0.3146   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0965E-01   1.4454E-01   5.0000E-03  0.4461   2.0000E-03  0.7064   4.0000E-03  0.4990   8.0000E-03  0.3521   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.4454E-01   1.9055E-01   4.0000E-03  0.4990   2.0000E-03  0.7064   7.0000E-03  0.3766   3.0000E-03  0.5765   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.9055E-01   2.5119E-01   5.0000E-03  0.4461   0.0000E+00  0.0000   8.0000E-03  0.3521   8.0000E-03  0.3521   0.0000E+00  0.0000   0.0000E+00  0.0000
   2.5119E-01   3.3113E-01   2.0000E-03  0.7064   0.0000E+00  0.0000   3.0000E-03  0.5765   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000
   3.3113E-01   4.3652E-01   4.0000E-03  0.4990   1.0000E-03  0.9995   5.0000E-03  0.4461   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
   4.3652E-01   5.7544E-01   4.0000E-03  0.4990   3.0000E-03  0.5765   0.0000E+00  0.0000   8.0000E-03  0.3521   0.0000E+00  0.0000   0.0000E+00  0.0000
   5.7544E-01   7.5858E-01   6.0000E-03  0.4070   5.0000E-03  0.4461   3.0000E-03  0.5765   7.0000E-03  0.3766   0.0000E+00  0.0000   0.0000E+00  0.0000
   7.5858E-01   1.0000E+00   8.0000E-03  0.3521   5.0000E-03  0.4461   4.0000E-03  0.4990   4.0000E-03  0.4990   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.0000E+00   1.3183E+00   1.1000E-02  0.2998   4.0000E-03  0.4990   5.0000E-03  0.4461   5.0000E-03  0.4461   0.0000E+00  0.0000   0.0000E+00  0.0000
   1.3183E+00   1.7378E+00   9.0000E-03  0.3318   3.0000E-03  0.5765   3.0000E-03  0.5765   6.0000E-03  0.4070   0.0000E+00  0.0000   0.0000E+00  0.0000
