   3.8500E+01   3.9000E+01   1.1373E-12  0.0362
   3.9000E+01   3.9500E+01   1.0213E-12  0.0368
   3.9500E+01   4.0000E+01   9.8455E-13  0.0386
   4.0000E+01   4.0500E+01   9.0983E-13  0.0401
   4.0500E+01   4.1000E+01   8.2349E-13  0.0366
   4.1000E+01   4.1500E+01   8.0419E-13  0.0382
   4.1500E+01   4.2000E+01   7.4400E-13  0.0376
   4.2000E+01   4.2500E+01   7.1111E-13  0.0401
   4.2500E+01   4.3000E+01   6.2996E-13  0.0399
   4.3000E+01   4.3500E+01   6.1885E-13  0.0400
   4.3500E+01   4.4000E+01   5.8202E-13  0.0423
   4.4000E+01   4.4500E+01   5.4336E-13  0.0442
   4.4500E+01   4.5000E+01   5.0447E-13  0.0447
   4.5000E+01   4.5500E+01   4.8117E-13  0.0434
   4.5500E+01   4.6000E+01   4.9640E-13  0.0453
   4.6000E+01   4.6500E+01   4.3804E-13  0.0469
   4.6500E+01   4.7000E+01   4.3867E-13  0.0469
   4.7000E+01   4.7500E+01   4.2467E-13  0.0470
   4.7500E+01   4.8000E+01   3.8538E-13  0.0469
   4.8000E+01   4.8500E+01   3.7044E-13  0.0496
   4.8500E+01   4.9000E+01   3.6277E-13  0.0495
   4.9000E+01   4.9500E+01   3.4602E-13  0.0522
   4.9500E+01   5.0000E+01   3.1697E-13  0.0546
   5.0000E+01   5.0500E+01   1.2515E-28  0.7120
   5.0500E+01   5.1000E+01   0.0000E+00  0.0000
   5.1000E+01   5.1500E+01   0.0000E+00  0.0000
   5.1500E+01   5.2000E+01   0.0000E+00  0.0000
   5.2000E+01   5.2500E+01   0.0000E+00  0.0000
   5.2500E+01   5.3000E+01   0.0000E+00  0.0000
   5.3000E+01   5.3500E+01   0.0000E+00  0.0000
   5.3500E+01   5.4000E+01   0.0000E+00  0.0000
   5.4000E+01   5.4500E+01   0.0000E+00  0.0000
   5.4500E+01   5.5000E+01   0.0000E+00  0.0000
   5.5000E+01   5.5500E+01   0.0000E+00  0.0000
   5.5500E+01   5.6000E+01   0.0000E+00  0.0000
   5.6000E+01   5.6500E+01   0.0000E+00  0.0000
   5.6500E+01   5.7000E+01   0.0000E+00  0.0000
   5.7000E+01   5.7500E+01   0.0000E+00  0.0000
   5.7500E+01   5.8000E+01   0.0000E+00  0.0000
   5.8000E+01   5.8500E+01   0.0000E+00  0.0000
   5.8500E+01   5.9000E+01   0.0000E+00  0.0000
   5.9000E+01   5.9500E+01   0.0000E+00  0.0000
   5.9500E+01   6.0000E+01   0.0000E+00  0.0000
   6.0000E+01   6.0500E+01   0.0000E+00  0.0000
   6.0500E+01   6.1000E+01   0.0000E+00  0.0000
   6.1000E+01   6.1500E+01   0.0000E+00  0.0000
   6.1500E+01   6.2000E+01   0.0000E+00  0.0000
   6.2000E+01   6.2500E+01   0.0000E+00  0.0000
   6.2500E+01   6.3000E+01   0.0000E+00  0.0000
   6.3000E+01   6.3500E+01   0.0000E+00  0.0000
   6.3500E+01   6.4000E+01   0.0000E+00  0.0000
   6.4000E+01   6.4500E+01   0.0000E+00  0.0000
   6.4500E+01   6.5000E+01   0.0000E+00  0.0000
   6.5000E+01   6.5500E+01   0.0000E+00  0.0000
   6.5500E+01   6.6000E+01   0.0000E+00  0.0000
   6.6000E+01   6.6500E+01   0.0000E+00  0.0000
   6.6500E+01   6.7000E+01   0.0000E+00  0.0000
   6.7000E+01   6.7500E+01   0.0000E+00  0.0000
   6.7500E+01   6.8000E+01   0.0000E+00  0.0000
   6.8000E+01   6.8500E+01   0.0000E+00  0.0000
   6.8500E+01   6.9000E+01   0.0000E+00  0.0000
   6.9000E+01   6.9500E+01   0.0000E+00  0.0000
