   1.4450E+00   1.4600E+00   4.2040E-09  0.0926
   1.4600E+00   1.4750E+00   4.2039E-09  0.0926
   1.4750E+00   1.4900E+00   4.2038E-09  0.0926
   1.4900E+00   1.5050E+00   4.2038E-09  0.0926
   1.5050E+00   1.5200E+00   4.2037E-09  0.0926
   1.5200E+00   1.5350E+00   4.2036E-09  0.0926
   1.5350E+00   1.5500E+00   4.2035E-09  0.0926
   1.5500E+00   1.5650E+00   4.2035E-09  0.0926
   1.5650E+00   1.5800E+00   4.2034E-09  0.0926
   1.5800E+00   1.5950E+00   4.2033E-09  0.0926
   1.5950E+00   1.6100E+00   4.2032E-09  0.0926
   1.6100E+00   1.6250E+00   4.2032E-09  0.0926
   1.6250E+00   1.6400E+00   4.2031E-09  0.0926
   1.6400E+00   1.6550E+00   4.2030E-09  0.0926
   1.6550E+00   1.6700E+00   4.2030E-09  0.0926
   1.6700E+00   1.6850E+00   4.2029E-09  0.0926
   1.6850E+00   1.7000E+00   4.2028E-09  0.0926
   1.7000E+00   1.7150E+00   4.2027E-09  0.0926
   1.7150E+00   1.7300E+00   4.2027E-09  0.0926
   1.7300E+00   1.7450E+00   4.2026E-09  0.0926
   1.7450E+00   1.7600E+00   4.2025E-09  0.0926
   1.7600E+00   1.7750E+00   4.2024E-09  0.0926
   1.7750E+00   1.7900E+00   4.2024E-09  0.0926
   1.7900E+00   1.8050E+00   4.2023E-09  0.0926
   1.8050E+00   1.8200E+00   4.2022E-09  0.0926
   1.8200E+00   1.8350E+00   4.2022E-09  0.0926
   1.8350E+00   1.8500E+00   4.2021E-09  0.0926
   1.8500E+00   1.8650E+00   4.2020E-09  0.0926
   1.8650E+00   1.8800E+00   4.2019E-09  0.0926
   1.8800E+00   1.8950E+00   4.2019E-09  0.0926
   1.8950E+00   1.9100E+00   4.2018E-09  0.0926
   1.9100E+00   1.9250E+00   4.2017E-09  0.0926
   1.9250E+00   1.9400E+00   4.2016E-09  0.0926
   1.9400E+00   1.9550E+00   4.2016E-09  0.0926
   1.9550E+00   1.9700E+00   4.2015E-09  0.0926
   1.9700E+00   1.9850E+00   4.2014E-09  0.0926
   1.9850E+00   2.0000E+00   4.2014E-09  0.0926

#   sum over    6.0000E-02   6.2249E-09  0.0928

'no. =  1,  ix =  1,  iy =  1'
msuc: {\huge Bragg peak in pouch}
msdr: {\it plotted by \ANGEL \version}
msdl: {\it calculated by \PHITS  3.35}
wt: s(0.7)
\vspace{-3}
  xmin  &=&  -1.0000E-01 [cm]
  xmax  &=&   1.0000E-01 [cm]
  ymin  &=&  -5.0000E-02 [cm]
  ymax  &=&   5.0000E-02 [cm]
e:
 
# Information for Restart Calculation
# This calculation was newly started
# istdev =  2 # 1:Batch variance, 2:History variance
# resc2  = 5.00000000000000000E+03 # Total source weight or Total source weight / maxcas
# resc3  = 5.00000000000000000E+03 # Total history number or Total batch number
# maxcas =          50 # History / Batch, only used for istdev=1
# bitrseed = 1101111111001101100001000101010101010011110110101000101010011110 # bit data of rseed
