[ T - C r o s s ]
    title = [t-cross] in region mesh
     mesh =  reg            # mesh type is region-wise
      reg =    5            # number of crossing regions
   1.5849E+00   1.7783E+00   7.0606E-08  0.0128
   1.7783E+00   1.9953E+00   6.6170E-08  0.0125
   1.9953E+00   2.2387E+00   6.0396E-08  0.0123
   2.2387E+00   2.5119E+00   5.7106E-08  0.0120
   2.5119E+00   2.8184E+00   5.1557E-08  0.0118
   2.8184E+00   3.1623E+00   4.7569E-08  0.0117
   3.1623E+00   3.5481E+00   4.3355E-08  0.0115
   3.5481E+00   3.9811E+00   3.8118E-08  0.0116
   3.9811E+00   4.4668E+00   3.4519E-08  0.0115
   4.4668E+00   5.0119E+00   3.1078E-08  0.0114
   5.0119E+00   5.6234E+00   2.7620E-08  0.0115
   5.6234E+00   6.3096E+00   2.4452E-08  0.0115
   6.3096E+00   7.0795E+00   2.1566E-08  0.0116
   7.0795E+00   7.9433E+00   1.8451E-08  0.0118
   7.9433E+00   8.9125E+00   1.6420E-08  0.0118
   8.9125E+00   1.0000E+01   1.3998E-08  0.0121
   1.0000E+01   1.1220E+01   1.2475E-08  0.0120
   1.1220E+01   1.2589E+01   1.0525E-08  0.0124
   1.2589E+01   1.4125E+01   9.1777E-09  0.0125
   1.4125E+01   1.5849E+01   8.0740E-09  0.0126
   1.5849E+01   1.7783E+01   6.9176E-09  0.0129
   1.7783E+01   1.9953E+01   5.8354E-09  0.0133
   1.9953E+01   2.2387E+01   5.3093E-09  0.0131
   2.2387E+01   2.5119E+01   4.6183E-09  0.0133
   2.5119E+01   2.8184E+01   4.0466E-09  0.0134
   2.8184E+01   3.1623E+01   3.6860E-09  0.0133
   3.1623E+01   3.5481E+01   3.2229E-09  0.0134
   3.5481E+01   3.9811E+01   3.0067E-09  0.0131
   3.9811E+01   4.4668E+01   2.6933E-09  0.0131
   4.4668E+01   5.0119E+01   2.5097E-09  0.0128
   5.0119E+01   5.6234E+01   2.2309E-09  0.0128
   5.6234E+01   6.3096E+01   2.0344E-09  0.0126
   6.3096E+01   7.0795E+01   1.8914E-09  0.0124
   7.0795E+01   7.9433E+01   1.7248E-09  0.0122
   7.9433E+01   8.9125E+01   1.5906E-09  0.0120
   8.9125E+01   1.0000E+02   1.4159E-09  0.0120
   1.0000E+02   1.1220E+02   1.3163E-09  0.0118
   1.1220E+02   1.2589E+02   1.1371E-09  0.0119
   1.2589E+02   1.4125E+02   1.0084E-09  0.0120
   1.4125E+02   1.5849E+02   8.9143E-10  0.0120
   1.5849E+02   1.7783E+02   8.0119E-10  0.0120
   1.7783E+02   1.9953E+02   7.0419E-10  0.0120
   1.9953E+02   2.2387E+02   6.0440E-10  0.0123
   2.2387E+02   2.5119E+02   5.2558E-10  0.0124
   2.5119E+02   2.8184E+02   4.5521E-10  0.0126
   2.8184E+02   3.1623E+02   3.9161E-10  0.0128
   3.1623E+02   3.5481E+02   3.2639E-10  0.0133
   3.5481E+02   3.9811E+02   2.6350E-10  0.0139
   3.9811E+02   4.4668E+02   2.0366E-10  0.0150
   4.4668E+02   5.0119E+02   1.5111E-10  0.0164
   5.0119E+02   5.6234E+02   1.1163E-10  0.0180
   5.6234E+02   6.3096E+02   6.9328E-11  0.0216
   6.3096E+02   7.0795E+02   4.1619E-11  0.0263
   7.0795E+02   7.9433E+02   2.7111E-11  0.0307
   7.9433E+02   8.9125E+02   1.5948E-11  0.0378
   8.9125E+02   1.0000E+03   4.3922E-12  0.0680
   1.0000E+03   1.1220E+03   2.8996E-13  0.2500
   1.1220E+03   1.2589E+03   0.0000E+00  0.0000
   1.2589E+03   1.4125E+03   0.0000E+00  0.0000
   1.4125E+03   1.5849E+03   0.0000E+00  0.0000
   1.5849E+03   1.7783E+03   0.0000E+00  0.0000
   1.7783E+03   1.9953E+03   0.0000E+00  0.0000
   1.9953E+03   2.2387E+03   0.0000E+00  0.0000
   2.2387E+03   2.5119E+03   0.0000E+00  0.0000
   2.5119E+03   2.8184E+03   0.0000E+00  0.0000
   2.8184E+03   3.1623E+03   0.0000E+00  0.0000
   3.1623E+03   3.5481E+03   0.0000E+00  0.0000
   3.5481E+03   3.9811E+03   0.0000E+00  0.0000
   3.9811E+03   4.4668E+03   0.0000E+00  0.0000
   4.4668E+03   5.0119E+03   0.0000E+00  0.0000
   5.0119E+03   5.6234E+03   0.0000E+00  0.0000
   5.6234E+03   6.3096E+03   0.0000E+00  0.0000
   6.3096E+03   7.0795E+03   0.0000E+00  0.0000
   7.0795E+03   7.9433E+03   0.0000E+00  0.0000
   7.9433E+03   8.9125E+03   0.0000E+00  0.0000
   8.9125E+03   1.0000E+04   0.0000E+00  0.0000

#   sum over                 7.8411E-07  0.0017
'no. =    3   reg = 100 - 506'
msuc: {\huge [t-cross] in region mesh}
msdl: {\it plotted by \ANGEL \version}
msdr: {\it calculated by \PHITS  2.30}
wt: s(0.7)
\vspace{-3}
  region surface crossing
  area  &=&   2.2611E+04 [cm^2]
e:

#------------------------------------------------------------------------------
 newpage:
#   no. =    4   reg = 100 - 508

x: Energy [MeV]
y:   Flux  [1/cm^2/MeV/source]             
p: xlog ylog afac(0.8) form(0.9)
h: n            x            y(neutron ),hh0l  n  
#  e-lower      e-upper         flux     r.err 
   1.0000E+00   1.1220E+00   7.9042E-08  0.0188
   1.1220E+00   1.2589E+00   8.1269E-08  0.0175
   1.2589E+00   1.4125E+00   7.9647E-08  0.0167
   1.4125E+00   1.5849E+00   7.4931E-08  0.0162
   1.5849E+00   1.7783E+00   7.2906E-08  0.0156
   1.7783E+00   1.9953E+00   6.8494E-08  0.0152
   1.9953E+00   2.2387E+00   6.2228E-08  0.0150
   2.2387E+00   2.5119E+00   5.8795E-08  0.0145
   2.5119E+00   2.8184E+00   5.4870E-08  0.0142
   2.8184E+00   3.1623E+00   4.9515E-08  0.0141
   3.1623E+00   3.5481E+00   4.4136E-08  0.0142
   3.5481E+00   3.9811E+00   4.0437E-08  0.0140
   3.9811E+00   4.4668E+00   3.7080E-08  0.0138
   4.4668E+00   5.0119E+00   3.3186E-08  0.0137
   5.0119E+00   5.6234E+00   2.9087E-08  0.0138
   5.6234E+00   6.3096E+00   2.6832E-08  0.0137
   6.3096E+00   7.0795E+00   2.3161E-08  0.0139
   7.0795E+00   7.9433E+00   2.0064E-08  0.0140
   7.9433E+00   8.9125E+00   1.7851E-08  0.0140
   8.9125E+00   1.0000E+01   1.5772E-08  0.0140
   1.0000E+01   1.1220E+01   1.3243E-08  0.0146
   1.1220E+01   1.2589E+01   1.1608E-08  0.0146
   1.2589E+01   1.4125E+01   1.0436E-08  0.0146
   1.4125E+01   1.5849E+01   9.0445E-09  0.0149
   1.5849E+01   1.7783E+01   7.6800E-09  0.0152
   1.7783E+01   1.9953E+01   6.6352E-09  0.0154
   1.9953E+01   2.2387E+01   6.2376E-09  0.0152
   2.2387E+01   2.5119E+01   5.2832E-09  0.0154
   2.5119E+01   2.8184E+01   4.6391E-09  0.0155
   2.8184E+01   3.1623E+01   4.0664E-09  0.0157
